model,alpha,RMSE,MAE
Baseline,-,0.8761725163561306,0.6667569987497155
Hybrid,0.2,1.0644013905013001,0.8711348034932459
Hybrid,0.5,0.9541292730549463,0.7714061432001741
Hybrid,0.8,0.8891050449879576,0.6956126015678514
